nb_var normal rand dlis
2 0 0 0
4 0 0 0
6 0 0 0
8 0 0 0
10 0 0 0
12 0 0 0
14 0 0 0
16 0 0 0
18 0 0 0
20 .01 .01 .01
22 .02 .02 .02
24 .03 .03 .03
26 .05 .05 .05
28 .07 .08 .08
30 .11 .11 .11
32 .17 .17 .17
34 .25 .25 .25
36 .35 .35 .35
38 .49 .49 .49
40 .68 .68 .68
42 .94 .95 .94
44 1.27 1.28 1.27
46 1.74 1.75 1.74
48 2.32 2.33 2.31
50 3.05 3.07 3.05
52 4.15 4.17 4.15
54 5.60 5.61 5.59
56 7.42 7.45 7.42
58 9.96 10.00 9.94
60 13.27 13.33 13.27
