nb_var normal rand moms1 moms2 dlis
80 0 0 0 0 0
85 0 0 0 0 0
90 0 0 0 0 0
95 0 0 0 0 0
100 0 0 0 0 0
105 0 0 0 0 0
110 0 0 0 0 0
115 0 0 0 0 0
120 0 0 0 0 0
125 0 0 0 0 0
130 0 0 0 0 0
135 0 0 0 0 0
140 0 0 0 0 0
145 0 0 0 0 0
150 0 0 0 0 0
155 0 0 0 0 0
160 0 0 0 0 0
165 0 0 0 0 0
170 0 0 0 0 0
175 0 0 0 0 0
180 0 0 0 0 0
185 0 0 0 0 0
190 0 0 0 0 0
195 0 0 0 0 0
200 0 0 0 0 0
205 0 0 0 0 0
210 0 0 0 0 0
215 0 0 0 0 0
220 0 0 0 0 0
225 0 0 0 0 0
230 0 0 0 0 0
235 0 0 0 0 0
240 0 0 0 0 0
245 0 0 0 0 0
250 .01 .01 0 0 0
255 .01 .02 0 0 0
260 .01 .01 0 0 0
265 .07 .02 0 0 0
270 .04 .04 0 0 0
275 .03 .04 0 0 0
280 .06 .05 0 0 0
285 .05 .11 0 0 0
290 .14 .11 0 0 0
295 .24 .19 0 0 0
300 .18 .26 0 0 0
305 .18 .32 0 0 .01
310 .60 .50 .01 0 .02
315 .61 .68 .02 .01 .03
320 .85 .72 .03 .01 .03
325 .84 .88 .04 .02 .04
330 1.08 .97 .05 .02 .04
335 .82 .89 .05 .02 .05
340 1.02 1.01 .06 .02 .06
345 .97 1.07 .07 .03 .06
350 1.16 1.09 .08 .03 .06
355 .92 1.06 .09 .03 .06
360 1.07 1.01 .09 .04 .07
365 .91 .96 .08 .03 .06
370 .87 .91 .08 .03 .06
375 .92 .86 .09 .03 .06
380 .83 .82 .09 .03 .06
385 .66 .69 .08 .03 .05
390 .66 .70 .08 .03 .05
395 .68 .66 .08 .03 .05
400 .52 .54 .06 .02 .04
405 .46 .49 .06 .02 .04
410 .35 .41 .05 .02 .03
415 .37 .34 .05 .02 .03
420 .32 .34 .05 .02 .03
425 .39 .41 .05 .02 .04
430 .41 .38 .06 .02 .04
435 .35 .36 .06 .02 .04
440 .33 .35 .05 .02 .03
445 .33 .31 .05 .02 .03
450 .28 .30 .05 .02 .03
455 .27 .26 .04 .01 .03
460 .24 .27 .04 .02 .03
465 .24 .24 .04 .01 .03
470 .20 .24 .04 .01 .02
475 .21 .23 .04 .01 .03
480 .19 .21 .04 .01 .02
485 .18 .21 .04 .01 .02
490 .21 .19 .04 .01 .02
495 .16 .17 .03 .01 .02
500 .19 .17 .03 .01 .02
